    126 który	które
    125 przystępuję	przystępujemy
     68 rozpatrzenie	rozpatrzenia
     66 oddał	oddało
     62 marszałków	marszałku
     58 euro	ełro
     55 które	który
     54 wogóle	w ogóle
     53 artykuł	artykułu
     47 ani	pani
     43 głosował	głosowało
     42 zabrania	zabranie
     42 ani	a nie
     41 osób	posłów
     40 polski	polskiej
     40 informuje	informuję
     37 państwo	państwa
     36 który	której
     36 komisję	komisje
     36 jaki	jakiś
     34 taki	takiej
     34 które	która
     34 chce	chcę
     33 izby	izbie
     32 tym	ten
     32 głosów	posłów
     30 vat	wat
     30 trzy	czy
     30 dziękuje	dziękuję
     28 zabrania	o zabranie
     28 polski	polskich
     27 pytanie	pytania
     27 emerytur	emerytów
     26 poprawka	poprawkę
     26 oto	o to
     26 informacje	informację
     25 pan	pani
     24 decyzję	decyzje
     24 czy	czyli
     24 był	było
     23 rzeczypospolitej	rzeczpospolitej
     23 mam	mamy
     22 ważne	ważny
     22 swego	swojego
     22 rady	radę
     22 nimi	innymi
     22 nie	mnie
     22 nic	nikt
     22 możliwość	możliwości
     22 komisji	komisję
     22 było	była
     21 wnioskodawcy	wnioskodawców
     21 ustnym	ustęp
     21 jakiś	jakieś
     21 ich	i w
     21 chciałem	chciałbym
     21 chciałbym	chciałabym
     20 zmiany	zmianę
     20 uzasadnienie	uzasadnienia
     20 trzecich	przeciw
     20 rzeczpospolitej	rzeczypospolitej
     20 proponuję	proponuje
     20 pani	pan
     20 jeśli	jeżeli
     20 czy	trzy
     20 był	były
     19 takie	takiej
     19 powinna	powinno
     19 która	które
     19 jedną	jedno
     18 przystępuje	przystępujemy
     18 przy	czy
     18 projekt	projektu
     18 prawo	prawa
     18 odrzucenie	odrzuceniem
     18 całość	w całości
     17 mówi	mówił
     17 klubu	klubów
     17 czyniący	wstrzymujących
     16 uzupełnienie	uzupełnieniu
     16 sytuację	sytuacją
     16 rezydencji	prezydencji
     16 propozycje	propozycję
     16 poselskim	poselskiego
     15 zgłasza	zgłoszono
     15 trzymało	wstrzymało
     15 tak	takie
     15 tak	taki
     15 samorządu	samorządów
     15 opinię	opinie
     15 mnie	nie
     15 dziesiąty	dziesiątym
     14 wstrzymał	wstrzymało
     14 trzynasty	trzynastym
     14 tej	tych
     14 różnych	rożnych
     14 pytania	pytanie
     14 pocztowy	pocztowe
     14 których	której
     13 ważny	ważne
     13 takie	taki
     13 rozumie	rozumiem
     13 republikom	republiką
     13 przyszłości	przeszłości
     13 pracę	prace
     13 potrawkę	poprawkę
     13 numery	numer
     13 ministerstwo	ministerstwa
     13 ktory	który
     13 każdy	każde
     13 jestem	jest
     13 euro	europy
     13 cały	całe
     13 były	był
     12 ważny	ważnych
     12 uproszczenie	uproszczenia
     12 tytuł	tytułu
     12 szesnasty	szesnasta
     12 szansę	szanse
     12 solidarny	solidarna
     12 równie	również
     12 regionalny	regionalnej
     12 przychodzimy	przechodzimy
     12 przeciwdziałaniu	przeciwdziałania
     12 ktore	które
     12 kieruje	kieruję
     12 jest	więc
     12 inne	inny
     12 europejski	europejskiej
     12 dwu	dwóch
     12 czternasto	czternasta
     12 chciałem	chciałam
     11 został	zostały
     11 zmiany	zmian
     11 złoty	złotych
     11 złotych	zlotych
     11 wcześnie	wcześniej
     11 ustawy	ustawie
     11 ustaw	ustawy
     11 udział	udziału
     11 tam	pan
     11 taki	takie
     11 stron	strony
     11 scena	senat
     11 rownież	również
     11 poziom	poziomu
     11 państw	państwa
     11 ona	ono
     11 obracamy	powracamy
     11 można	może
     11 mówi	mówię
     11 mogą	mogę
     11 mniejsze	ministrze
     11 miał	miało
     11 który	w której
     11 których	który
     11 ktora	która
     11 komisji	komisje
     11 jednym	jeden
     11 jedna	jedno
     11 jako	jaką
     11 jakiś	jakichś
     11 jaki	jakie
     11 dopadł	dopłat
     11 czytanie	pytanie
     11 b jedzenie	biedzenie
     11 będzie	będziemy
     10 żywy	żeby
     10 wielki	wielkiej
     10 trzynasty	trzynasta
     10 trzydziestych	trzydziestu
     10 sprawy	sprawie
     10 sprawozdawczym	sprawozdawcę
     10 sprawozdanie	sprawozdania
     10 realizację	realizacji
     10 prac	pracy
     10 postawie	podstawie
     10 poprawy	poprawę
     10 odrzucenie	odrzucenia
     10 niej	nich
     10 może	możemy
     10 miejsce	miejsca
     10 miał	miały
     10 jakieś	jakiś
     10 ceny	cen
      9 zwana	zwane
      9 tych	tej
      9 taki	takich
      9 szumiący	wstrzymujących
      9 system	systemu
      9 swej	swojej
      9 się	dzisiaj
      9 sam	sami
      9 rozwiązanie	rozwiązań
      9 regionalnych	regionalnej
      9 przedstawiciele	przedstawiciela
      9 pierwsze	pierwszy
      9 ona	one
      9 nie	jest
      9 nadzieję	nadzieje
      9 mógł	mógłby
      9 legislacji	legislacyjnym
      9 który	w którym
      9 który	których
      9 których	które
      9 które	której
      9 jedenastka	jedenasta
      9 jak	jako
      9 jakiś	jakiejś
      9 izba	izbo
      9 informacje	informacja
      9 gdzie	będzie
      9 faktu	paktu
      9 duże	duży
      9 dobry	dobre
      9 czym	tym
      9 czyli	czy
      9 chcę	chce
      9 barw	bardzo
      9 ale	pani
      8 życie	życia
      8 związanych	związane
      8 znanym	wznawiam
      8 zmianę	zmiany
      8 zawarty	zawartej
      8 wydłużenie	wydłużenia
      8 wróg	druk
      8 usta	ustawy
      8 udzielił	udzieli
      8 twarzy	twarze
      8 trzymających	wstrzymujących
      8 terminie	terminy
      8 tego	tylko
      8 sytuację	sytuacje
      8 swoje	swojej
      8 swojej	swoich
      8 swego	z tego
      8 senator	senatorów
      8 przy	przed
      8 proponuje	proponuję
      8 pracy	pracę
      8 posiedzenie	posiedzenia
      8 polskę	polska
      8 pierwszy	pierwsze
      8 państw	państwo
      8 ośrodka	ośrodkach
      8 odurzający	odurzających
      8 niezgodne	niezgodny
      8 nie	niech
      8 możliwości	możliwość
      8 lecz	czy
      8 którym	które
      8 który	która
      8 konieczność	konieczności
      8 kolejny	kolejne
      8 klimatyczne	klimatycznej
      8 istotne	istotny
      8 informację	informacje
      8 gwarancyjnej	gwarancyjnych
      8 formacji	informacji
      8 dziś	gdzieś
      8 dziś	dzisiaj
      8 dziesiątego	dziewięćdziesiątego
      8 dyskusję	dyskusje
      8 drugiej	drugie
      8 dodatkowy	dodatkowe
